269973,256714,216735,
270005,256716,209226,
270032,256702,204164,
270078,256700,227454,
270102,256677,202858,
270140,256656,204664,
270164,256639,227249,
270195,256614,204393,
270259,256617,209369,
270288,256598,214277,
270303,256594,216797,
270358,256586,208128,
270363,256595,203748,
270374,256573,227584,
270393,256553,204797,
270394,256533,206122,
270393,256536,228122,
270379,256519,204894,
270377,256503,211536,
270356,256474,216287,
270331,256455,216362,
270307,256436,208720,
270295,256409,205553,
270271,256376,228094,
270279,256371,204191,
270244,256337,205217,
270224,256309,228733,
270191,256295,203859,
270185,256291,211094,
270181,256262,217453,
270184,256252,214997,
270172,256273,208642,
270163,256280,205631,
270184,256247,227736,
270197,256246,203367,
270177,256241,202175,
270178,256214,230085,
270148,256194,203323,
270165,256194,206297,
270170,256199,218346,
270173,256185,214953,
270177,256164,208147,
270188,256176,206048,
270189,256163,227445,
270213,256142,203333,
270221,256136,201510,
270233,256137,231514,
270236,256134,204149,
270245,256146,205975,
270256,256131,220732,
270251,256120,215410,
270291,256135,208430,
270297,256113,206824,
270297,256089,226710,
270275,256103,204914,
270297,256094,203477,
270300,256080,231940,
270303,256072,204021,
270306,256070,207118,
270286,256064,222677,
270334,256060,214945,
270302,256043,209588,
270308,256026,210294,
270305,256042,228067,
270328,256014,207073,
270274,256007,205970,
270298,256002,234466,
270308,255993,205253,
270278,256009,205588,
270313,256009,226583,
270314,256011,216139,
270334,256035,212317,
270328,256040,212945,
270319,256054,228411,
270338,256100,209089,
270387,256130,208911,
270398,256180,236132,
270442,256249,206515,
270508,256345,208199,
270598,256433,229444,
270619,256519,216392,
270633,256551,209640,
270639,256608,216500,
270666,256670,230128,
270570,256603,212703,
270086,256174,211205,
269135,255252,237367,
267272,253525,211282,
264848,251592,217956,
261718,249565,234627,
258998,249008,222323,
258620,251419,229251,
259604,256836,227756,
263723,267970,228627,
271370,273856,222426,
253511,246449,218037,
229376,229376,231845,
180224,180224,154611,
131072,131072,207117,
89730,81920,65214,
66833,58011,213631,
50324,42856,192441,
38477,32549,56940,
30053,25441,261439,
24099,20177,173378,
19527,16447,20871,
16223,13780,49930,
13836,11868,176766,
12065,10462,233836,
10742,9417,70767,
9714,8620,209851,
8895,7984,181446,
8227,7471,57394,
7626,7031,1076,
7098,6643,188550,
6585,6270,34920,
6072,5877,51418,
5549,5474,175700,
4975,5032,235161,
4411,4584,72997,
3858,4141,209188,
3339,3698,183181,
2890,3308,60391,
2482,2952,261750,
2154,2648,167730,
1888,2410,23936,
1684,2187,49893,
1546,2031,172838,
1432,1899,233574,
1361,1803,74197,
1308,1746,204271,
1276,1674,164803,
1266,1637,58254,
1243,1604,259997,
1238,1582,154474,
1231,1586,19243,
1225,1551,51180,
1231,1547,166861,
1224,1536,228829,
1225,1531,77912,
1223,1547,203825,
1221,1527,170171,
1230,1534,65104,
1222,1534,257949,
1224,1530,163688,
1223,1551,31913,
1221,1529,50438,
1229,1530,167455,
1223,1522,237830,
1226,1517,80339,
1225,1534,200704,
1220,1510,184823,
1229,1514,73647,
1222,1510,253267,
1226,1507,163341,
1224,1525,38260,
1221,1505,47946,
1228,1507,174988,
1221,1506,261311,
1225,1500,83996,
1224,1515,201948,
1221,1500,210596,
1228,1503,82191,
1221,1500,251176,
1225,1497,181727,
1222,1511,50543,
1218,1497,46106,
1227,1502,163172,
1221,1498,248522,
1224,1494,82840,
1223,1508,197274,
1220,1496,208324,
1227,1501,83583,
1222,1496,246775,
1224,1495,187834,
1224,1505,56849,
1220,1495,44950,
1226,1499,166480,
1221,1493,257679,
1223,1493,81756,
1225,1505,188419,
1219,1496,188778,
1224,1498,81091,
1219,1495,243280,
1224,1493,165404,
1225,1503,47427,
1220,1494,41177,
1224,1498,168473,
1218,1494,1929,
1224,1493,81851,
1228,1503,185021,
1218,1495,187900,
1224,1497,82570,
1220,1495,240366,
1222,1492,165296,
1233,1502,50369,
1217,1493,39200,
1223,1497,157560,
1220,1495,254857,
1220,1493,82356,
1233,1504,183465,
1216,1495,194986,
1222,1497,87130,
1222,1496,239567,
1219,1492,155743,
1236,1501,51081,
1215,1493,37439,
1222,1496,154031,
1221,1493,256234,
1219,1492,82195,
1239,1499,179805,
1218,1494,192783,
1222,1497,88702,
1218,1493,236146,
1217,1493,163348,
1239,1501,64311,
1217,1492,31578,
1222,1495,149844,
1219,1495,260906,
1218,1494,79501,
1239,1500,174003,
1217,1491,198919,
1223,1495,91564,
1219,1494,227322,
1217,1492,160233,
1239,1499,64575,
1218,1494,27284,
1223,1496,148545,
1220,1495,3070,
1218,1492,78603,
1238,1499,171479,
1217,1492,204710,
1221,1497,92995,
1218,1497,222577,
1217,1493,161459,
1236,1497,66672,
1215,1493,22815,
1222,1495,149274,
1219,1496,9951,
1216,1492,76897,
1234,1498,169265,
1217,1492,206060,
1220,1494,92477,
