0,1,2,3,4,5,6,7,8,9
299443.0,256357.0,,,,,,,,
299448.0,256390.0,,,,,,,,
299453.0,256454.0,,,,,,,,
299458.0,256482.0,,,,,,,,
299464.0,256528.0,,,,,,,,
299468.0,256566.0,,,,,,,,
299473.0,256606.0,,,,,,,,
299478.0,256646.0,,,,,,,,
299484.0,256679.0,,,,,,,,
299489.0,256712.0,,,,,,,,
299494.0,256733.0,,,,,,,,
299498.0,256797.0,,,,,,,,
299503.0,256812.0,,,,,,,,
299509.0,256864.0,,,,,,,,
299514.0,256888.0,,,,,,,,
299519.0,256928.0,,,,,,,,
299524.0,256944.0,,,,,,,,
299529.0,256987.0,,,,,,,,
299534.0,257010.0,,,,,,,,
299539.0,257021.0,,,,,,,,
299544.0,257063.0,,,,,,,,
299549.0,257089.0,,,,,,,,
299554.0,257121.0,,,,,,,,
299559.0,257160.0,,,,,,,,
299564.0,257162.0,,,,,,,,
299569.0,257198.0,,,,,,,,
299574.0,257233.0,,,,,,,,
299579.0,257261.0,,,,,,,,
299584.0,257307.0,,,,,,,,
299589.0,257340.0,,,,,,,,
299594.0,257371.0,,,,,,,,
299599.0,257405.0,,,,,,,,
299604.0,257413.0,,,,,,,,
299609.0,257438.0,,,,,,,,
299614.0,257478.0,,,,,,,,
299619.0,257493.0,,,,,,,,
299624.0,257533.0,,,,,,,,
299629.0,257542.0,,,,,,,,
299634.0,257577.0,,,,,,,,
299639.0,257625.0,,,,,,,,
299644.0,257650.0,,,,,,,,
299649.0,257695.0,,,,,,,,
299654.0,257723.0,,,,,,,,
299659.0,257771.0,,,,,,,,
299664.0,257792.0,,,,,,,,
299669.0,257872.0,,,,,,,,
299674.0,257899.0,,,,,,,,
299679.0,257965.0,,,,,,,,
299684.0,257989.0,,,,,,,,
299689.0,258037.0,,,,,,,,
299694.0,258073.0,,,,,,,,
299699.0,258144.0,,,,,,,,
299704.0,258171.0,,,,,,,,
299709.0,258225.0,,,,,,,,
299714.0,258240.0,,,,,,,,
299719.0,258251.0,,,,,,,,
299724.0,258212.0,,,,,,,,
299729.0,258139.0,,,,,,,,
299734.0,257999.0,,,,,,,,
299739.0,257832.0,,,,,,,,
299744.0,257656.0,,,,,,,,
299749.0,257371.0,,,,,,,,
299754.0,257050.0,,,,,,,,
299759.0,256729.0,,,,,,,,
299764.0,256333.0,,,,,,,,
299769.0,255927.0,,,,,,,,
299774.0,255554.0,,,,,,,,
299779.0,255113.0,,,,,,,,
299784.0,254699.0,,,,,,,,
299789.0,254287.0,,,,,,,,
299794.0,253877.0,,,,,,,,
299799.0,253479.0,,,,,,,,
299805.0,253117.0,,,,,,,,
299809.0,252781.0,,,,,,,,
299814.0,252490.0,,,,,,,,
299819.0,252200.0,,,,,,,,
299825.0,251940.0,,,,,,,,
299830.0,251721.0,,,,,,,,
299834.0,251529.0,,,,,,,,
299839.0,251345.0,,,,,,,,
299845.0,251217.0,,,,,,,,
299850.0,251137.0,,,,,,,,
299855.0,251038.0,,,,,,,,
299860.0,250984.0,,,,,,,,
299865.0,250914.0,,,,,,,,
299870.0,250870.0,,,,,,,,
299875.0,250850.0,,,,,,,,
299880.0,250863.0,,,,,,,,
299885.0,250848.0,,,,,,,,
299890.0,250840.0,,,,,,,,
299895.0,250893.0,,,,,,,,
299900.0,250901.0,,,,,,,,
299905.0,250960.0,,,,,,,,
299910.0,250981.0,,,,,,,,
299915.0,251025.0,,,,,,,,
299920.0,251067.0,,,,,,,,
299925.0,251102.0,,,,,,,,
299930.0,251177.0,,,,,,,,
299935.0,251233.0,,,,,,,,
299940.0,251276.0,,,,,,,,
299945.0,251335.0,,,,,,,,
299950.0,251404.0,,,,,,,,
299955.0,251452.0,,,,,,,,
299960.0,251527.0,,,,,,,,
299965.0,251600.0,,,,,,,,
299970.0,251688.0,,,,,,,,
299975.0,251767.0,,,,,,,,
299980.0,251848.0,,,,,,,,
299985.0,251943.0,,,,,,,,
299990.0,252060.0,,,,,,,,
299995.0,252155.0,,,,,,,,
300000.0,252275.0,,,,,,,,
300005.0,252372.0,,,,,,,,
300010.0,252503.0,,,,,,,,
300015.0,252594.0,,,,,,,,
300020.0,252677.0,,,,,,,,
300025.0,252784.0,,,,,,,,
300030.0,252878.0,,,,,,,,
300035.0,252949.0,,,,,,,,
300040.0,253018.0,,,,,,,,
300045.0,253055.0,,,,,,,,
300050.0,253131.0,,,,,,,,
300055.0,253167.0,,,,,,,,
300060.0,253198.0,,,,,,,,
300065.0,253203.0,,,,,,,,
300070.0,253222.0,,,,,,,,
300075.0,253227.0,,,,,,,,
300080.0,253209.0,,,,,,,,
300085.0,253180.0,,,,,,,,
300090.0,253163.0,,,,,,,,
300095.0,253152.0,,,,,,,,
300100.0,253101.0,,,,,,,,
300105.0,253071.0,,,,,,,,
300110.0,253016.0,,,,,,,,
300115.0,252981.0,,,,,,,,
300120.0,252921.0,,,,,,,,
300126.0,252900.0,,,,,,,,
300130.0,252855.0,,,,,,,,
300135.0,252827.0,,,,,,,,
300140.0,252816.0,,,,,,,,
300146.0,252767.0,,,,,,,,
300151.0,252771.0,,,,,,,,
300155.0,252757.0,,,,,,,,
300160.0,252758.0,,,,,,,,
300166.0,252749.0,,,,,,,,
300171.0,252769.0,,,,,,,,
300176.0,252762.0,,,,,,,,
300180.0,252784.0,,,,,,,,
300186.0,252815.0,,,,,,,,
300191.0,252835.0,,,,,,,,
300196.0,252872.0,,,,,,,,
300201.0,252931.0,,,,,,,,
300206.0,252960.0,,,,,,,,
300211.0,252995.0,,,,,,,,
300216.0,253053.0,,,,,,,,
300221.0,253079.0,,,,,,,,
300226.0,253130.0,,,,,,,,
300231.0,253203.0,,,,,,,,
300236.0,253272.0,,,,,,,,
300241.0,253310.0,,,,,,,,
300246.0,253402.0,,,,,,,,
300251.0,253470.0,,,,,,,,
300256.0,253542.0,,,,,,,,
300261.0,253635.0,,,,,,,,
300266.0,253710.0,,,,,,,,
300271.0,253792.0,,,,,,,,
300276.0,253867.0,,,,,,,,
300281.0,253930.0,,,,,,,,
300286.0,254034.0,,,,,,,,
300291.0,254085.0,,,,,,,,
300296.0,254185.0,,,,,,,,
300301.0,254267.0,,,,,,,,
300306.0,254339.0,,,,,,,,
300311.0,254448.0,,,,,,,,
300316.0,254489.0,,,,,,,,
300321.0,254560.0,,,,,,,,
300326.0,254661.0,,,,,,,,
300331.0,254735.0,,,,,,,,
300336.0,254779.0,,,,,,,,
300341.0,254882.0,,,,,,,,
300346.0,254964.0,,,,,,,,
300351.0,255027.0,,,,,,,,
300356.0,255109.0,,,,,,,,
300361.0,255184.0,,,,,,,,
300366.0,255236.0,,,,,,,,
300371.0,255307.0,,,,,,,,
300376.0,255391.0,,,,,,,,
300381.0,255463.0,,,,,,,,
300386.0,255525.0,,,,,,,,
300391.0,255615.0,,,,,,,,
300396.0,255666.0,,,,,,,,
300401.0,255756.0,,,,,,,,
300406.0,255803.0,,,,,,,,
300411.0,255865.0,,,,,,,,
300416.0,255940.0,,,,,,,,
300421.0,256002.0,,,,,,,,
300426.0,256048.0,,,,,,,,
300431.0,256128.0,,,,,,,,
300436.0,256196.0,,,,,,,,
300441.0,256233.0,,,,,,,,
300446.0,256302.0,,,,,,,,
300451.0,256349.0,,,,,,,,
300456.0,256391.0,,,,,,,,
300461.0,256464.0,,,,,,,,
300466.0,256531.0,,,,,,,,
300471.0,256551.0,,,,,,,,
300476.0,256610.0,,,,,,,,
300482.0,256671.0,,,,,,,,
300487.0,256727.0,,,,,,,,
300491.0,256784.0,,,,,,,,
300496.0,256817.0,,,,,,,,
300502.0,256857.0,,,,,,,,
300507.0,256936.0,,,,,,,,
